"Lines","Bytes","File","EmptyBlocks","TODO","DebugLog"
"14","337","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Battlefield\UnitControl\HUDSingleUnitSelection.cs","0","0","0"
"14","342","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\HUD\Battlefield\UnitControl\HUDSquadSelection.cs","0","0","0"
"15","361","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tooltips\Autonomy\TIP009_AIStateTooltip.cs","0","0","1"
"15","360","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tooltips\Abilities\TIP004_AbilityTooltip.cs","0","0","1"
"15","358","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tooltips\Autonomy\TIP008_IntentTooltip.cs","0","0","1"
"15","368","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Store\Purchasing\STORE015_PurchaseFailure.cs","0","0","1"
"15","378","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Store\Purchasing\STORE013_PurchaseConfirmation.cs","0","0","1"
"15","368","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Store\Purchasing\STORE014_PurchaseSuccess.cs","0","0","1"
"15","360","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Store\Purchasing\STORE012_ItemDetails.cs","0","0","1"
"15","362","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tooltips\Structures\TIP006_BuildingTooltip.cs","0","0","1"
"15","371","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tooltips\Status\TIP012_StatusEffectTooltip.cs","0","0","1"
"15","354","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tooltips\Units\TIP001_UnitTooltip.cs","0","0","1"
"15","366","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tooltips\Technology\TIP007_TechnologyTooltip.cs","0","0","1"
"15","362","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tooltips\Resources\TIP005_ResourceTooltip.cs","0","0","1"
"15","358","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tooltips\Equipment\TIP002_WeaponTooltip.cs","0","0","1"
"15","377","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tooltips\Deployment\TIP010_DeploymentPointTooltip.cs","0","0","1"
"15","364","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tooltips\Objectives\TIP011_ObjectiveTooltip.cs","0","0","1"
"15","364","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tooltips\Equipment\TIP003_EquipmentTooltip.cs","0","0","1"
"15","355","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Store\Categories\STORE006_Cosmetics.cs","0","0","1"
"15","355","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Store\Categories\STORE005_Materials.cs","0","0","1"
"15","370","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Store\Categories\STORE008_ConvenienceItems.cs","0","0","1"
"15","360","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Store\Categories\STORE007_GarageSlots.cs","0","0","1"
"15","369","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Settings\MENU024_ColorDisplayOptions.cs","0","0","1"
"15","380","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Results\Statistics\RESULT011_EconomyStatistics.cs","0","0","1"
"15","355","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Store\Categories\STORE004_Equipment.cs","0","0","1"
"15","347","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Store\Categories\STORE003_Units.cs","0","0","1"
"15","353","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Store\Main\STORE002_Featured.cs","0","0","1"
"15","356","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Store\Main\STORE001_StoreHome.cs","0","0","1"
"15","374","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Store\Ownership\STORE017_UnlockRequirements.cs","0","0","1"
"15","368","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Store\Ownership\STORE016_OwnershipStatus.cs","0","0","1"
"15","378","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Store\Categories\STORE010_FabricationMaterials.cs","0","0","1"
"15","372","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Store\Categories\STORE009_CampaignResources.cs","0","0","1"
"15","355","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Store\Inventory\STORE018_Inventory.cs","0","0","1"
"15","351","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Store\Categories\STORE011_Credits.cs","0","0","1"
"15","362","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Settings\MENU023_HUDCustomization.cs","0","0","1"
"15","361","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\VR\Communications\VR022_OperatorTransfer.cs","0","0","1"
"15","355","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Settings\MENU021_Accessibility.cs","0","0","1"
"15","344","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Settings\MENU022_UIScale.cs","0","0","1"
"15","348","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\VR\Cockpit\VR011_Ammunition.cs","0","0","1"
"15","336","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\VR\Cockpit\VR010_Fuel.cs","0","0","1"
"15","351","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\VR\Communications\VR020_SquadStatus.cs","0","0","1"
"15","356","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\VR\Communications\VR019_Communications.cs","0","0","1"
"15","345","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Settings\MENU016_Controls.cs","0","0","1"
"15","339","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Settings\MENU017_Mouse.cs","0","0","1"
"15","376","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Results\Statistics\RESULT004_MatchStatistics.cs","0","0","1"
"15","345","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Settings\MENU015_Gameplay.cs","0","0","1"
"15","349","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Settings\MENU019_Controller.cs","0","0","1"
"15","333","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Settings\MENU020_VR.cs","0","0","1"
"15","361","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\VR\Emergency\VR021_EmergencySystems.cs","0","0","1"
"15","345","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Settings\MENU018_Keyboard.cs","0","0","1"
"15","382","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tutorial\Deployment\TUT011_DeploymentBudgetTutorial.cs","0","0","1"
"15","361","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tutorial\Controls\TUT003_CameraTutorial.cs","0","0","1"
"15","376","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tutorial\Onboarding\TUT001_FirstLaunchOnboarding.cs","0","0","1"
"15","367","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tutorial\Logistics\TUT010_LogisticsTutorial.cs","0","0","1"
"15","365","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tutorial\Autonomy\TUT008_AutonomyTutorial.cs","0","0","1"
"15","361","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tutorial\Autonomy\TUT006_IntentTutorial.cs","0","0","1"
"15","359","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tutorial\Controls\TUT002_BasicControls.cs","0","0","1"
"15","361","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tutorial\Combat\TUT009_CombatTutorial.cs","0","0","1"
"15","355","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\VR\Cockpit\VR007_VehicleStatus.cs","0","0","1"
"15","349","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\VR\Cockpit\VR006_CockpitHUD.cs","0","0","1"
"15","340","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\VR\Cockpit\VR009_Energy.cs","0","0","1"
"15","340","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\VR\Cockpit\VR008_Health.cs","0","0","1"
"15","363","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tutorial\RTS\TUT005_CommandTutorial.cs","0","0","1"
"15","376","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tutorial\RTS\TUT004_UnitSelectionTutorial.cs","0","0","1"
"15","353","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tutorial\VR\TUT012_VRTutorial.cs","0","0","1"
"15","359","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Tutorial\RTS\TUT007_SquadTutorial.cs","0","0","1"
"15","360","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Overlays\Combat\OVER004_RangeOverlay.cs","0","0","1"
"15","362","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Overlays\Combat\OVER003_ThreatOverlay.cs","0","0","1"
"15","379","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Overlays\Command\OVER015_CommandNetworkOverlay.cs","0","0","1"
"15","373","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Overlays\Combat\OVER005_WeaponRangeOverlay.cs","0","0","1"
"15","383","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Notifications\Unlocks\NOTIF013_MissionUnlocked.cs","0","0","1"
"15","387","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Notifications\Unlocks\NOTIF012_EquipmentUnlocked.cs","0","0","1"
"15","366","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Overlays\Airspace\OVER013_AirspaceOverlay.cs","0","0","1"
"15","391","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Notifications\Unlocks\NOTIF014_AchievementUnlocked.cs","0","0","1"
"15","366","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Overlays\Resources\OVER011_ResourceOverlay.cs","0","0","1"
"15","360","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Overlays\Naval\OVER014_NavalOverlay.cs","0","0","1"
"15","368","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Overlays\Visibility\OVER001_FogOfWarOverlay.cs","0","0","1"
"15","379","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Overlays\Sensors\OVER002_SensorCoverageOverlay.cs","0","0","1"
"15","368","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Overlays\Logistics\OVER012_LogisticsOverlay.cs","0","0","1"
"15","368","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Overlays\Formation\OVER008_FormationOverlay.cs","0","0","1"
"15","358","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Overlays\Movement\OVER007_PathOverlay.cs","0","0","1"
"15","377","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Overlays\Movement\OVER006_MovementRangeOverlay.cs","0","0","1"
"15","377","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Notifications\Unlocks\NOTIF011_UnitUnlocked.cs","0","0","1"
"15","389","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Notifications\Operations\NOTIF016_ProductionComplete.cs","0","0","1"
"15","393","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Notifications\Operations\NOTIF015_ConstructionComplete.cs","0","0","1"
"15","385","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Notifications\Operations\NOTIF018_ResearchComplete.cs","0","0","1"
"15","381","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Notifications\Operations\NOTIF017_RepairComplete.cs","0","0","1"
"15","337","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Settings\MENU027_Back.cs","0","0","1"
"15","339","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Settings\MENU026_Reset.cs","0","0","1"
"15","370","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\UnitInformation\Systems\WIN014_Abilities.cs","0","0","1"
"15","389","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Notifications\Objectives\NOTIF008_ObjectiveCompleted.cs","0","0","1"
"15","377","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Notifications\Units\NOTIF004_UnitDeployed.cs","0","0","1"
"15","377","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Notifications\Units\NOTIF003_UnitProduced.cs","0","0","1"
"15","389","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Notifications\Unlocks\NOTIF010_TechnologyUnlocked.cs","0","0","1"
"15","379","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Notifications\Units\NOTIF005_UnitDestroyed.cs","0","0","1"
"15","385","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Notifications\Resources\NOTIF002_ResourceDepleted.cs","0","0","1"
"15","381","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Notifications\Resources\NOTIF001_ResourceGained.cs","0","0","1"
"15","381","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Notifications\Squads\NOTIF007_SquadDestroyed.cs","0","0","1"
"15","377","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Notifications\Squads\NOTIF006_SquadCreated.cs","0","0","1"
"15","377","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Overlays\Zones\OVER009_DefensiveZoneOverlay.cs","0","0","1"
"15","387","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Results\Performance\RESULT012_AIAutonomyStatistics.cs","0","0","1"
"15","366","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Results\Outcome\RESULT003_DrawScreen.cs","0","0","1"
"15","359","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Results\Rewards\RESULT014_Rewards.cs","0","0","1"
"15","380","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Results\Performance\RESULT013_PlayerPerformance.cs","0","0","1"
"15","385","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Results\Navigation\RESULT018_ReturnToMultiplayer.cs","0","0","1"
"15","375","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Results\Navigation\RESULT017_ReturnToGarage.cs","0","0","1"
"15","370","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Results\Outcome\RESULT002_DefeatScreen.cs","0","0","1"
"15","372","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Results\Outcome\RESULT001_VictoryScreen.cs","0","0","1"
"15","374","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Results\Statistics\RESULT008_DamageReceived.cs","0","0","1"
"15","368","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Results\Statistics\RESULT007_DamageDealt.cs","0","0","1"
"15","382","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Results\Statistics\RESULT010_ResourcesCollected.cs","0","0","1"
"15","384","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Results\Statistics\RESULT009_ObjectivesCompleted.cs","0","0","1"
"15","339","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Menus\Settings\MENU025_Apply.cs","0","0","1"
"15","367","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Results\Rewards\RESULT015_Progression.cs","0","0","1"
"15","364","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Results\Statistics\RESULT006_UnitsLost.cs","0","0","1"
"15","372","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Results\Statistics\RESULT005_UnitsDeployed.cs","0","0","1"
"15","361","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Results\Navigation\RESULT016_Continue.cs","0","0","1"
"15","374","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Popups\System\Confirmation\POP020_SellConfirmation.cs","0","0","1"
"15","382","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Popups\System\Confirmation\POP019_PurchaseConfirmation.cs","0","0","1"
"15","380","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Popups\System\Confirmation\POP022_SalvageConfirmation.cs","0","0","1"
"15","378","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Popups\System\Confirmation\POP021_RepairConfirmation.cs","0","0","1"
"15","376","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Popups\System\Confirmation\POP016_ConfirmationPopup.cs","0","0","1"
"15","377","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Overlays\Zones\OVER010_ObjectiveZoneOverlay.cs","0","0","1"
"15","378","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Popups\System\Confirmation\POP018_DeleteConfirmation.cs","0","0","1"
"15","378","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Popups\System\Confirmation\POP017_CancelConfirmation.cs","0","0","1"
"15","370","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Popups\System\Network\POP027_ConnectionLost.cs","0","0","1"
"15","360","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Popups\System\Error\POP030_SaveError.cs","0","0","1"
"15","376","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Popups\System\Network\POP029_ServerUnavailable.cs","0","0","1"
"15","378","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Popups\System\Network\POP028_ConnectionRestored.cs","0","0","1"
"15","374","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Popups\System\Confirmation\POP024_ExitConfirmation.cs","0","0","1"
"15","378","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Popups\System\Confirmation\POP023_DeployConfirmation.cs","0","0","1"
"15","362","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Popups\System\Error\POP026_ErrorPopup.cs","0","0","1"
"15","380","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\Popups\System\Confirmation\POP025_RestartConfirmation.cs","0","0","1"
"15","355","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\UI\VR\Operator\VR001_OperatorEntry.cs","0","0","1"
"15","375","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Production\Queue\WIN043_QueueControls.cs","0","0","1"
"15","369","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Production\Queue\WIN042_Queue.cs","0","0","1"
"15","385","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Production\State\WIN045_ProductionComplete.cs","0","0","1"
"15","381","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Production\Queue\WIN044_CancelProduction.cs","0","0","1"
"15","365","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Production\Costs\WIN039_UnitCost.cs","0","0","1"
"15","381","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Production\Core\WIN035_ProductionWindow.cs","0","0","1"
"15","377","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Production\Costs\WIN041_ProductionTime.cs","0","0","1"
"15","383","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Production\Costs\WIN040_RequiredResources.cs","0","0","1"
"15","371","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Squad\Composition\WIN022_SquadComposition.cs","0","0","1"
"15","376","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Squad\Autonomy\WIN034_SquadAutonomyState.cs","0","0","1"
"15","365","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Squad\Composition\WIN025_SquadStrength.cs","0","0","1"
"15","361","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Squad\Composition\WIN024_SquadHealth.cs","0","0","1"
"15","361","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Squad\Autonomy\WIN028_SquadIntent.cs","0","0","1"
"15","402","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Production\State\WIN046_ProductionUnavailableState.cs","0","0","1"
"15","365","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Squad\Autonomy\WIN030_SquadBehavior.cs","0","0","1"
"15","365","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Squad\Autonomy\WIN029_SquadPriority.cs","0","0","1"
"15","371","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Production\Catalog\WIN038_UnitPreview.cs","0","0","1"
"15","364","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Logistics\Status\WIN059_SupplyStatus.cs","0","0","1"
"15","364","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Logistics\Routes\WIN064_SupplyRoutes.cs","0","0","1"
"15","372","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Logistics\Status\WIN061_AmmunitionStatus.cs","0","0","1"
"15","360","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Logistics\Status\WIN060_FuelStatus.cs","0","0","1"
"15","374","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Intelligence\Tracking\WIN078_TrackingStatus.cs","0","0","1"
"15","370","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Intelligence\Tracking\WIN076_SensorSource.cs","0","0","1"
"15","374","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Logistics\Core\WIN058_LogisticsOverview.cs","0","0","1"
"15","384","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Intelligence\Tracking\WIN079_IntelligenceHistory.cs","0","0","1"
"15","385","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Logistics\Warnings\WIN068_RouteDisruptionDisplay.cs","0","0","1"
"15","374","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Logistics\Warnings\WIN067_LogisticsWarnings.cs","0","0","1"
"15","377","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Production\Catalog\WIN037_UnitCategories.cs","0","0","1"
"15","377","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Production\Catalog\WIN036_AvailableUnits.cs","0","0","1"
"15","362","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Logistics\Status\WIN066_DepotStatus.cs","0","0","1"
"15","364","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Logistics\Status\WIN062_RepairStatus.cs","0","0","1"
"15","353","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Logistics\Transport\WIN065_Convoys.cs","0","0","1"
"15","374","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Logistics\Transport\WIN063_ResourceTransport.cs","0","0","1"
"15","369","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\Squad\Composition\WIN032_SquadCasualties.cs","0","0","1"
"15","379","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\UnitInformation\Status\WIN016_CurrentOrders.cs","0","0","1"
"15","364","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\UnitInformation\Status\WIN015_Status.cs","0","0","1"
"15","367","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\UnitInformation\Status\WIN018_AIState.cs","0","0","1"
"15","379","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\UnitInformation\Status\WIN017_CurrentIntent.cs","0","0","1"
"15","369","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\UnitInformation\Identity\WIN003_UnitName.cs","0","0","1"
"15","388","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\UnitInformation\Core\WIN002_UnitPortraitModel.cs","0","0","1"
"15","375","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\UnitInformation\Identity\WIN005_UnitFaction.cs","0","0","1"
"15","369","C:\ObsidianProtocol-Autonomous-Warfare\Assets\Scripts\Windows\UnitInformation\Identity\WIN004_UnitType.cs","0","0","1"
